task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	bd/eedd8f	43088	convert_raw_mgf (6)	COMPLETED	0	2020-05-03 06:31:41.515	17m 36s	17m 33s	25.4%	1.8 GB	4.8 GB	738.3 KB	651.5 MB
27	d0/dfd8df	9044	convert_raw_mgf (17)	COMPLETED	0	2020-05-03 06:46:38.245	2m 54s	2m 52s	141.8%	1.7 GB	4.5 GB	549.2 KB	658.3 MB
58	21/316976	23911	convert_mzml_mzdb (3)	COMPLETED	0	2020-05-03 06:47:16.553	2m 17s	2m 15s	96.1%	675.3 MB	201.4 GB	2.7 GB	851.8 MB
56	88/968b78	20520	convert_mzml_mzdb (1)	COMPLETED	0	2020-05-03 06:47:07.865	2m 33s	2m 31s	96.8%	591.6 MB	201.5 GB	2.9 GB	906.3 MB
57	84/69b42b	23128	convert_mzml_mzdb (2)	COMPLETED	0	2020-05-03 06:47:15.362	2m 27s	2m 25s	96.5%	593.8 MB	201.5 GB	2.9 GB	901.5 MB
3	66/6f9df7	37806	convert_raw_mgf (5)	COMPLETED	0	2020-05-03 06:39:34.206	10m 9s	10m 7s	41.2%	1.7 GB	4.9 GB	879.5 KB	642.3 MB
60	c9/dbcfee	30249	convert_mzml_mzdb (4)	COMPLETED	0	2020-05-03 06:47:31.486	2m 19s	2m 18s	97.0%	579.9 MB	201.4 GB	2.8 GB	890.4 MB
61	da/b18133	31533	convert_mzml_mzdb (5)	COMPLETED	0	2020-05-03 06:47:33.456	2m 35s	2m 34s	88.2%	581.6 MB	201.4 GB	2.8 GB	879.5 MB
39	3b/7b69e3	34708	convert_raw_mzml (17)	COMPLETED	0	2020-05-03 06:41:14.154	8m 55s	8m 53s	41.3%	1.8 GB	5.5 GB	1.6 GB	1.2 GB
62	1a/a87181	36867	convert_mzml_mzdb (6)	COMPLETED	0	2020-05-03 06:47:48.104	2m 27s	2m 25s	88.0%	677 MB	201.4 GB	2.7 GB	861.5 MB
24	2b/ef4549	39958	convert_raw_mzml (9)	COMPLETED	0	2020-05-03 06:43:48.847	6m 32s	6m 28s	59.7%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
43	44/4a774a	32237	convert_raw_mgf (24)	COMPLETED	0	2020-05-03 06:43:25.456	6m 56s	6m 55s	64.4%	1.7 GB	5.2 GB	617.9 KB	714.9 MB
20	f3/9bffba	44820	convert_raw_mzml (7)	COMPLETED	0	2020-05-03 06:44:03.079	6m 47s	6m 45s	59.0%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
64	f6/5523fb	6235	convert_mzml_mzdb (8)	COMPLETED	0	2020-05-03 06:48:23.909	2m 29s	2m 28s	96.9%	575.3 MB	201.4 GB	2.7 GB	861.2 MB
